company,product name ,category,ingredients,link,total number of reviews,product rate 
Andalou Naturals,Age Defying Resveratrol Q10 Night Repair Cream,"Home
Skin Care
Moisturizers
Night Cream","Aloe Barbadensis Leaf Juice*, Purified Water (Aqua), Dicaprylyl Carbonate, Stearyl Alcohol, Linum Usitatissimum (Flax) Seed Oil*, Cetyl Alcohol, Ethylhexyl Palmitate, Glyceryl Stearate, Fruit Stem Cells (Malus Domestica, Solar Vitis) And Bioactive Berry Complex*, Theobroma Cacao (Cocoa) Seed Butter*, Allantoin, Resveratrol, Ubiquinone (Coq10), Hydrolyzed Rice Protein, Sodium Hyaluronate, Lycium Barbarum (Goji) Fruit Extract, Fagus Sylvatica (Beech) Bud Extract, Tocopherol, Magnesium Ascorbyl Phosphate (Vitamin C), Borago Officinalis (Borage) Seed Oil*, Persea Gratissima (Avocado) Fruit Oil*, Rosa Canina (Rosehip) Fruit Oil*, Oenothera Biennis (Evening Primrose) Oil*, Olive Squalane, Camellia Sinensis (White Tea) Leaf Extract***, Aspalathus Linearis (Rooibos) Extract***, Hibiscus Sabdariffa Flower Extract***, Riboflavin, Phenethyl Alcohol, Ethylhexylglycerin, Vanilla Isolates, Symphytum Officinale (Comfrey) Extract*.
*Certified Organic Ingredients
**Fair Trade Ingredients",https://www.ulta.com/p/age-defying-resveratrol-q10-night-repair-cream-xlsImpprod13762399?sku=2298568,0,4.6
ULTA Beauty Collection,Luxe Lipstick,"Home
Makeup
Lips
Lipstick","Ricinus Communis (Castor) Seed Oil, Octyldodecanol, Diisostearyl Malate, Bis-Diglyceryl Polyacyladipate-2, Silica, Trioctyldodecyl Citrate, Euphorbia Cerifera (Candelilla) Wax, Caprylic/Capric Triglyceride, Microcrystalline Wax, Oleic/Linoleic/Linolenic Polyglycerides, Polyethylene, Helianthus Annuus (Sunflower) Seed Wax, Paraffin, Caprylyl Glycol, Sorbitan Sesquioleate, Citric Acid, Tocopherol, Squalane, Butyrospermum Parkii (Shea) Butter, Astrocaryum Murumuru Seed Butter, Ethylhexyl Palmitate, Water, Silica Dimethyl Silylate, Butylene Glycol, Phenoxyethanol, Sodium Hyaluronate, Hexylene Glycol May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Carmine (CI 75470), Yellow 5 Lake (CI 19140), Blue 1 Lake (CI 42090), Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200).
Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.ulta.com/p/luxe-lipstick-xlsImpprod18201039?sku=2524401,0,4.3
Sally Hansen,Color Therapy Nail Polish,"Home
Nails
Nail Polish","Butyl Acetate, Ethyl Acetate, Nitrocellulose, Acetyl Tributyl Citrate, Tosylamide/Epoxy Resin, Isopropyl Alcohol, Synthetic Fluorphlogopite, Silica, Styrene/Acrylates Copolymer, Stearalkonium Bentonite, Triphenyl Phosphate, Adipic Acid/Neopentyl Glycol/Trimellitic Anhydride Copolymer, Isosorbide Dicaprylate/Caprate, Ricinus Communis (Castor) Seed Oil, Magnesium Silicate, Calcium Sodium Borosilicate, Etocrylene, Diacetone Alcohol, Tin Oxide, Hexanal, Kaolin, Aqua/ Water/Eau, Phosphoric Acid, Argania Spinosa Kernel Oil, Oenothera Biennis (Evening Primrose) Oil, Euterpe Oleracea Fruit Oil, N-Butyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil, Carthamus Tinctorius (Safflower) Seed Oil, Butyleneglycol, Macrocystis Pyrifera (Kelp) Extract, Hydrolyzed Conchiolin Protein, Tocopherol, Methylparaben, [May Contain/Peut Contenir/ +/-:Mica,Titanium Dioxide (CI 77891),Ultramarines (CI 77007), D&C Red No. 6 Barium Lake (CI 15850), Manganese Violet (CI 77742), Aluminum Powder (CI 77000), D&C Red No. 7 Calcium Lake (CI 15850), Fd&C Yellow No. 5 Aluminum Lake (CI 19140), Iron Oxides (CI 77491, CI 77492, CI 77499), D&C Red No. 34 Calcium Lake (CI 15880), Ferric Ammonium Ferrocyanide (CI 77510), Fd&C Blue No. 1 Aluminum Lake (CI 42090), D&C Violet No. 2 (CI 60725), D&C Black No. 2 [Nano] (CI 77266), D&C Red No. 36 (CI 12085), D&C Yellow No. 11 (CI 47000)]",https://www.ulta.com/p/color-therapy-nail-polish-xlsImpprod15361203?sku=2611379,0,4.4
megababe,The Smoothie Deo Fruit Enzyme Daily Deodorant,"Home
Body Care
Self Care & Wellness
Deodorant","Caprylic/Capric Triglyceride, Manihot Esculenta (Arrowroot) Powder, Stearyl Alcohol, Magnesium Hydroxide, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil, Hydrogenated Castor Oil, Helianthus Annuus (Sunflower) Seed Oil, Triethyl Citrate, Behenyl Alcohol, Polyglyceryl-3 Stearate, Vaccinium Myrtillus (Bilberry) Fruit Extract, Zinc Ricinoleate, Xylityl Sesquicaprylate, Lactobacillus Ferment, Citrus Aurantifola (Lime) Peel Oil, Lime Oil Terpenes, Citrus Limon (Lemon) Peel Oil, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Reticulita (Tangerine) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Carthamus Tinctorius (Safflower) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol (Vitamin E), Saccharum Officinarum (Sugar Cane) Extract, Acer Saccharum (Sugar Maple) Extract, Camellia Sinensis Leaf (Green Tea) Extract, Salvia Officinalis (Sage) Leaf Extract, Equisetum Arvense (Horsetail Plant) Extract, Cymbopogon Flexuosus (Lemongrass) Oil, Eucalyptus Radia Flower/Leaf/Stem/Oil, Canarium Luzonicum Gum, Glycine Soja (Soybean) Oil, Vanillin, Anhydroxylitol, Maltodextrin, Alpha-Terpineol, L-Alpha Pinene, Gamma-Octalactone, Limonene, Geraniol, Linalool, Triethyl Citrate, Linalyl Acetate, Citronellyl Acetate, Citral, Gamma Nonalactone, Decanal, Geranyl Acetate, Nerol, Heliotropine, Phenethyl Alcohol, Alcohol.",https://www.ulta.com/p/smoothie-deo-fruit-enzyme-daily-deodorant-pimprod2027131?sku=2584556,0,4.6
OUAI,Body Cleanser,"Home
Body Care
Bath & Shower
Shower Gel & Body Wash","Aqua (Water, Eau), Sodium C14-16 Olefin Sulfonate, Glycerin, Cocamidopropyl Betaine, Sodium Methyl Cocoyl Taurate, Peg-40 Hydrogenated Castor Oil, PEG-150 Pentaerythrityl Tetrastearate, Acrylates Copolymer, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina Fruit Oil, Lactobacillus Ferment, Sodium Hyaluronate, Sodium Hydroxide, Benzophenone-4, Cocamide Mipa, Disodium EDTA, Hydroxyacetophenone, Peg-6 Caprylic/Capric Glycerides, Polyquaternium-7, Polysorbate 20, Tocopherol, Ethylhexylglycerin, Sodium Chloride, Sodium Benzote, Phenoyxethanol, Fragrance (Parfum), Limonene, Citronellol, Hydroxycitronellal, Linalool, Ext Violet 2 (CI 60730).",https://www.ulta.com/p/body-cleanser-pimprod2012520?sku=2559506,0,4.3
OUAI,Body Cleanser Refill,"Home
Body Care
Bath & Shower
Shower Gel & Body Wash","Aqua (Water, Eau), Sodium C14-16 Olefin Sulfonate, Glycerin, Cocamidopropyl Betaine, Sodium Methyl Cocoyl Taurate, Peg-40 Hydrogenated Castor Oil, PEG-150 Pentaerythrityl Tetrastearate, Acrylates Copolymer, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina Fruit Oil, Lactobacillus Ferment, Sodium Hyaluronate, Sodium Hydroxide, Benzophenone-4, Cocamide Mipa, Disodium EDTA, Hydroxyacetophenone, Peg-6 Caprylic/Capric Glycerides, Polyquaternium-7, Polysorbate 20, Tocopherol, Ethylhexylglycerin, Sodium Chloride, Sodium Benzote, Phenoyxethanol, Fragrance (Parfum), Limonene, Citronellol, Hydroxycitronellal, Linalool, Ext Violet 2 (CI 60730).",https://www.ulta.com/p/body-cleanser-refill-pimprod2020357?sku=2574072,0,5
One Love Organics,Skin Dew Coconut Water Cream,"Home
Skin Care
Moisturizers
Face Moisturizer","Aloe Barbadensis (Aloe Vera) Leaf Juice*, Water/Eau, Caprylic/Capric Triglyceride**, Helianthus Annuus (Sunflower) Seed Oil*, Cetearyl Alcohol, Jojoba Esters, Theobroma Grandiflorum (Cupuacu) Seed Butter*, Helianthus Annuus (Sunflower) Seed Wax, Xylitylglucoside, Cetearyl Glucoside, Citrullus Vulgaris (Watermelon) Seed Oil, Cocos Nucifera (Coconut) Fruit Juice*, Cocos Nucifera (Coconut) Pulp Extract*, Laminaria Ochroleuca Extract, Acacia Decurrens Flower Wax, Tocopherol, Glycerin, Sclerotium Gum, Xylitol, Polyglycerin-3, Glyceryl Caprylate, Levulinic Acid, Sodium Levulinate, Anhydroxylitol, Sodium Phytate, Silicon Dioxide, Sodium Anisate, Maltodextrin.",https://www.ulta.com/p/skin-dew-coconut-water-cream-pimprod2025153?sku=2585389,0,4.7
Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,"Home
Makeup
Face
Foundation","Talc, Mica, Silica, Magnesium Stearate, Hydrogenated Polyisobutene, Dimethicone, Pentaerythrityl Tetraisostearate, Triethoxycaprylylsilane, Phenoxyethanol, Capryly Glycol, Cannabis Sativa Seed Oil, Ricinus Communis (Castor) Seed Oil, Sodium Hyaluronate, Hydrogenated Castor Oil. May Contain: CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides), CI 77492 (Iron Oxides), CI 77499 (Iron Oxides).",https://www.ulta.com/p/conceal-define-satte-matte-powder-foundation-pimprod2012988?sku=2554175,0,4.3
PATTERN,Shine Spray,"Home
Hair
Styling Products
Gloss & Shine","Isododecane, Ethylhexyl Palmitate, C13-15 Alkane, Crambe Abyssinica Seed Oil Phytosterol Esters, Castor Oil Propanediol Esters, Plumeria Acutifolia Flower Extract, Pentaclethra Macroloba Seed Oil/Behenic Acid/Aminopropanediol Amides/Esters, Dicaprylyl Ether, Phenoxyethanol, Ethylhexyl Methoxycinnamate, Fragrance (Parfum), Benzyl Benzoate, Hexyl Cinnamal, Amyl Cinnamal, Hydroxycitronellal, Linalool, Citronellol, Limonene, Coumarin",https://www.ulta.com/p/shine-spray-pimprod2036797?sku=2606251,0,3.6
Dr. PAWPAW,Shimmer Balm,"Home
Skin Care
Moisturizers
Lip Care","Ricinus Communis (Castor) Seed Oil, Hydroxystearic Acid, Helianthus Annuus (Sunflower) Seed Oil, Euphorbia Cerifera (Candelilla) Wax, Calcium Aluminum Borosilicate, Olea Europaea (Olive) Fruit Oil, Carica Papaya (Papaya) Fruit Extract, Aloe Barbadensis (Aloe Vera) Leaf Extract, Rosmarinus Officianlis (Rosemary) Leaf Extract, Tin Oxide, CI 77891 (Titanium Dioxide).",https://www.ulta.com/p/shimmer-balm-pimprod2038283?sku=2606753,0,4.5
