company,product name ,category,ingredients,link,total number of reviews,product rate 
Burt's Bees,Beeswax Lip Balm 4 Pack,"Home
Gifts
By Price
$25 and Under","Cera Alba (beeswax, Cire D'abeille), Cocos Nucifera (coconut) Oil, Helianthus Annuus (sunflower) Seed Oil, Mentha Piperita (peppermint) Oil, Lanolin, Tocopherol, Rosmarinus Officinalis (rosemary) Leaf Extract, Glycine Soja (soybean) Oil, Canola Oil (huile De Colza), Limonene.",https://www.ulta.com/p/beeswax-lip-balm-4-pack-xlsImpprod11731361?sku=2284483,0,4.5
Burt's Bees,Freshly Picked Moisturizing Lip Balms,"Home
Skin Care
Moisturizers
Lip Care","Beeswax: Beeswax,Cocos Nucifera (Coconut) Oil, Helianthus Annuus (Sunflower) Seed Oil, Mentha Piperita (Peppermint) Oil, Lanolin, Tocopherol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Glycine Soja (Soybean) Oil, Canola Oil, Limonene, Linalool, Eugenol.
Cucumber Mint: Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Beeswax, Ricinus Communis (Castor) Seed Oil, Flavor*, Lanolin, Cucumis Sativus (Cucumber) Fruit Extract, Menthe Viridis (Spearmint) Leaf Extract, Menthe Piperita (Peppermint) Oil, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea) Butter, Carthamus Tinctorius (Sa Ower) Seed Oil, Glycine Soja (Soybean) Oil, Tocopherol, Citric Acid, Rebaudioside A, Limonene, Linalool.
Sweet Mandarin: Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Beeswax, Ricinus Communis (Castor) Seed Oil, Flavor*, Lanolin, Citrus Nobilis (Mandarin Orange) Fruit Extract, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea)Butter, Carthamus Tinctorius (Sa Ower) Seed Oil, Glycine Soja (Soybean) Oil, Tocopherol, Rebaudioside A, Citric Acid, Limonene, Citral, Linalool.
Watermelon: Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Beeswax, Flavor*, Ricinus Communis (Castor) Seed Oil, Lanolin, Citrullus Lanatus (Watermelon) Seed Extract, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea) Butter, Tocopherol, Carthamus Tinctorius (Safflower) Seed Oil, Glycine Soja (Soybean) Oil, Citric Acid, Rebaudioside A.
*Natural flavor",https://www.ulta.com/p/freshly-picked-moisturizing-lip-balms-pimprod2022799?sku=2578375,0,4.9
Parissa,Hot Wax Refill Pods,"Home
Body Care
Self Care & Wellness
Hair Removal","Wax: Collophonium (Gum Rosin), Cera Alba (Beeswax), Brassica Napus Oil (Canola Oil), Azulene (Azulene).",https://www.ulta.com/p/hot-wax-refill-pods-pimprod2031382?sku=2593733,0,4.8
BOBBI BROWN,Crushed Lip Color,"Home
Makeup
Lips
Lipstick","Sunset: Ricinus Communis (castor) Seed Oil , Caprylic/Capric Triglyceride , Isopropyl Lanolate , Euphorbia Cerifera (candelilla) Wax\Candelilla Cera\Cire De Candelilla , Cetyl Lactate , Paraffin , Beeswax\Cera Alba\Cire D'abeille , Nylon-12 , Microcrystalline Wax\Cera Microcristallina\Cire Microcristalline , Tocopherol , Ascorbyl Palmitate , Ethylhexyl Methoxycinnamate , Linalool , Limonene , Citral , Benzyl Benzoate , Geraniol , Fragrance (parfum) , [May Contain: Mica , Titanium Dioxide (CI 77891) , Iron Oxides (CI 77491) , Iron Oxides (CI 77492) , Iron Oxides (CI 77499) , Yellow 6 Lake (CI 15985) , Red 7 Lake (CI 15850) , Manganese Violet (CI 77742) , Red 6 (CI 15850) , Red 7 (CI 15850) , Red 27 (CI 45410) , Blue 1 Lake (CI 42090) , Red 28 Lake (CI 45410) , Yellow 5 Lake (CI 19140) , Red 22 Lake (CI 45380) , Carmine (CI 75470) , Red 21 (CI 45380) , Orange 5 (CI 45370) , Bismuth Oxychloride (CI 77163).",https://www.ulta.com/p/crushed-lip-color-pimprod2024879?sku=2583582,0,4.2
Beautycounter,Cheeky Clean Cream Blush Refill,"Home
Makeup
Face
Blush","Chai: Diisopropyl Adipate, Octyldodecanol, Jojoba Esters, Bis-Diglyceryl Polyacyladipate-2, Sucrose Acetate Isobutyrate, Isostearyl Behenate, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Cera Alba (Beeswax)/Cire d'abeille, Squalane, Mica, Tridecyl Trimellitate, Synthetic Beeswax, Polybutene, Behenyl Behenate, Polyhydroxystearic Acid, Caprylic/Capric Triglyceride, Silica, Synthetic Wax, Tocopherol, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499), Red 7 Lake (CI 15850), Yellow 5 Lake (CI 19140).",https://www.ulta.com/p/cheeky-clean-cream-blush-refill-pimprod2038180?sku=2606547,0,4.8
Beautycounter,Cheeky Clean Cream Blush,"Home
Makeup
Face
Blush","Chai: Diisopropyl Adipate, Octyldodecanol, Jojoba Esters, Bis-Diglyceryl Polyacyladipate-2, Sucrose Acetate Isobutyrate, Isostearyl Behenate, Euphorbia Cerifera (Candelilla) Wax/Cire de candelilla, Cera Alba (Beeswax)/Cire d'abeille, Squalane, Mica, Tridecyl Trimellitate, Synthetic Beeswax, Polybutene, Behenyl Behenate, Polyhydroxystearic Acid, Caprylic/Capric Triglyceride, Silica, Synthetic Wax, Tocopherol, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499), Red 7 Lake (CI 15850), Yellow 5 Lake (CI 19140).",https://www.ulta.com/p/cheeky-clean-cream-blush-pimprod2038181?sku=2606449,0,4.8
Burt's Bees,Moisturizing Lip Balm,"Home
Skin Care
Moisturizers
Lip Care","Helianthus Annuus (Sunflower) Seed Oil, Cera Alba (Beeswax, Cire D'abeille), Cocos Nucifera (Coconut) Oil, Ricinus Communis (Castor) Seed Oil, Lanolin, Aroma (Natural Flavor), Punica Granatum (Pomegranate) Seed Oil, Tocopherol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Glycine Soja (Soybean) Oil, Canola Oil (Huile De Colza), Carmine, Benzyl Salicylate, Cinnamal, Citral, Eugenol, Geraniol, Hydroxycitronellal, Limonene, Linalool.",https://www.ulta.com/p/moisturizing-lip-balm-xlsImpprod11731363?sku=2142464,0,4.5
BREEZE BALM,Lip Balm,"Home
Skin Care
Moisturizers
Lip Care","Lanolin, Paraffin Soft, Water, Aroma, Cetearyl Alcohol, Paraffin Wax, Beeswax, Ceteareth 20, Potassium Sorbate.",https://www.ulta.com/p/lip-balm-pimprod2038309?sku=2607762,0,3.7
Vacation,"Lip Desserts, Sunscreen Lip Balm SPF 30","Home
Body Care
Suncare
Sunscreen","Active Ingredients: Avobenzone (3%), Homosalate (5%), Octisalate (3%), Octocrylene (10%).
Inactive Ingredients: Aloe Barbadensis (Aloe Vera) Leaf Extract, Butyloctyl Salicylate, C18-38 Alkyl Hydroxystearoyl Stearate, Canola Oil, Cocos Nucifera (Coconut) Oil, Euphorbia Cerifera (Candelilla) Wax, Flavor, Glycine Soja (Soybean) Oil, Helianthus Annuus (Sunflower) Seed Wax, Olea Europaea (Olive) Fruit Oil, Ricinus Communis (Castor) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Stevia Rebaudiana Leaf Extract, Sunflower Seed Oil Glycerides, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol (Vitamin E), Tocopheryl Acetate.",https://www.ulta.com/p/lip-desserts-sunscreen-lip-balm-spf-30-pimprod2037344?sku=2606384,0,4.4
Olio E Osso,Lip & Cheek Tinted Balm,"Home
Makeup
Lips
Lip Tints & Balms","Butyrospermum Parkii (Shea) Nut Oil, Olea Europaea (Olive) Fruit Oil, Cera Alba (Natural Beeswax), Citrus Paradisi (Grapefruit) Peel Oil, [+/- May Contain Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891), Carmine (CI 75470), Manganese Violet (CI 77742)], *Limonene, *Linalool, *Citral",https://www.ulta.com/p/lip-cheek-tinted-balm-pimprod2018576?sku=2582586,0,4
