company,product name ,category,ingredients,link,total number of reviews,product rate 
bareMinerals,Strength & Length Serum Infused Mascara,"Home
Gifts
By Category
Makeup Gifts","Water (Aqua/Eau), Synthetic Beeswax, Euphorbia Cerifera (Candelilla) Wax (Candelilla Cera/Cire Candelilla), Palmitic Acid, Stearic Acid, Butylene Glycol, Acacia Senegal Gum, Aminomethyl Propanediol, Copernicia Cerifera (Carnauba) Wax (Cera Carnauba/Cire De Carnauba), Vp/Eicosene Copolymer, Glyceryl Stearate, Trifolium Pratense (Clover) Flower Extract, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Ribes Nigrum (Black Currant) Seed Oil, Saccharomyces/Copper Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Magnesium Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Panthenol, Acetyl Tetrapeptide-3, Caprylyl Glycol, Ethylhexylglycerin, Isopropyl Titanium Triisostearate, Capric Acid, Lauric Acid, Myristic Acid, Polysorbate 60, Dextran, 1,2-Hexanediol, Disodium Phosphate, Hydroxyethylcellulose, Sodium Phosphate. May Contain/Peut Contenir: Iron Oxides (CI 77491, CI 77492, CI 77499).",https://www.ulta.com/p/strength-length-serum-infused-mascara-pimprod2016877?sku=2564100,0,4.1
Meaningful Beauty,Creme de Serum,"Home
Skin Care
Treatment & Serums
Face Serums","Water (Aqua), Cyclopentasiloxane, Glycerin, Neopentyl Glycol Diheptanoate, Pentylene Glycol, Castor Isostearate Succinate, Butylene Glycol, Polymethylsilsesquioxane, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Dimethicone Crosspolymer, Cucumis Melo (Melon) Fruit Extract, Elaeis Guineensis (Palm) Oil, Hydrogenated Vegetable Oil, Tocopheryl Acetate, Sodium Hyaluronate, Magnesium Ascorbyl Phosphate, Soluble Collagen, Maltooligosyl Glucoside, Caprylyl Glycol, Decarboxy Carnosine HCl, Hexapeptide-9, Tripeptide-3, Saccharomyces/Zinc Ferment, Cholesterol, Tocotrienols, Tocopherol, Dimethicone, Ethylhexylglycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Ethylhexyl Hydroxystearate, Hydrogenated Phosphatidylcholine, Silica Dimethyl Silylate, Hydrogenated Starch Hydrolysate, Hydroxypropyl Guar, Polysilicone-11, Aminomethyl Propanol, Hexylene Glycol, Alcohol, Disodium EDTA, Carbomer, Phenoxyethanol, Fragrance (Parfum), Alpha-Isomethyl Ionone, Benzyl Benzoate, Benzyl Salicylate, Butylphenyl Methylpropional, Citronellol, Geraniol, Hexyl Cinnamal, Limonene, Linalool, Iron Oxides (CI 77491, CI 77492), Titanium Dioxide (CI 77891).",https://www.ulta.com/p/creme-de-serum-xlsImpprod5800050?sku=2264147,0,4.3
NABLA,Cutie Palette Nude,"Home
Gifts
By Category
Makeup Gifts","Seducer: Calcium Aluminum Borosilicate, Isostearyl Neopentanoate, Mica, Talc, Dimethicone, Butyl Acrylate/Hydroxypropyl Dimethicone Acrylate Copolymer, Trimethylsiloxysilicate, Silica, Caprylyl Glycol, Ethylhexylglycerin, Hydrogenated Styrene/Isoprene Copolymer, Tin Oxide, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain: CI 77891 (Titanium Dioxide), CI 77491 - CI 77499 (Iron Oxides).
Glorious: Mica, Isostearyl Neopentanoate, Calcium Aluminum Borosilicate, Dimethicone, Butyl Acrylate/Hydroxypropyl Dimethicone Acrylate Copolymer, Trimethylsiloxysilicate, Talc, Silica, Caprylyl Glycol, Ethylhexylglycerin, Hydrogenated Styrene/Isoprene Copolymer, Tin Oxide, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain: CI 77891 (Titanium Dioxide), CI 77491 - CI 77499 (Iron Oxides).
Plastick: Calcium Sodium Borosilicate, Talc, Glass Beads, Octyldodecanol, Hydrogenated Polyisobutene, Squalane, Caprylyl Glycol, Ethylhexylglycerin, Hydrogenated Styrene/Isoprene Copolymer, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Polymethylsilsesquioxane, C20-24 Olefin, BHT, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain: CI 77499 (Iron Oxides).
No Doubts: Calcium Sodium Borosilicate, Talc, Glass Beads, Octyldodecanol, Hydrogenated Polyisobutene, Squalane, Caprylyl Glycol, Ethylhexylglycerin, Hydrogenated Styrene/Isoprene Copolymer, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Polymethylsilsesquioxane, C20-24 Olefin, BHT, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain: CI 77891 (Titanium Dioxide), CI 77491 - CI 77492 - CI 77499 (Iron Oxides), CI 77007 (Ultramarines), CI 15850 (Red 7 Lake).
Latex Nude: Calcium Sodium Borosilicate, Talc, Glass Beads, Octyldodecanol, Hydrogenated Polyisobutene, Squalane, Caprylyl Glycol, Ethylhexylglycerin, Hydrogenated Styrene/Isoprene Copolymer, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Polymethylsilsesquioxane, C20-24 Olefin, BHT, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain: CI 77891 (Titanium Dioxide), CI 77491 - CI 77492 - CI 77499 (Iron Oxides), CI 77007 (Ultramarines).
Moonlight: Talc, Mica, Octyldodecyl Stearoyl Stearate, Dimethicone, Diisostearyl Malate, Synthetic Fluorphlogopite, Caprylyl Glycol, Ethylhexylglycerin, Silica, Glass Beads, Zinc Stearate. May Contain: CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides), CI 77400 (Bronze Powder).",https://www.ulta.com/p/cutie-palette-nude-pimprod2008004?sku=2554099,0,4
Juvia's Place,Culture Eyeshadow Palette,"Home
Gifts
By Category
Makeup Gifts","Pressed Pigment T(2,3,4,8,9,10,12,16,17,18,19,24,25,27,30): Mica, Talc, Calcium Aluminum Borosilicate, Synthetic Fluorphlogopite, Magnesium Stearate, Silica, Phenyl Trimethicone, Octyldodecyl Stearoyl Stearate, Tridecyl Trimellitate, Calcium Sodium Borosilicate, Dimethicone, Ethylhexyl Palmitate, Kaolin, Nylon-12, Hydrogenated Polyisobutene, Zinc Stearate, Isononyl Isononanoate, Caprylic/Capric Triglyceride, Aluminum Starch Octenylsuccinate, Polymethylsilsesquioxane, Boron Nitride, Tin Oxide, Phenoxyethanol, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin. May Contain: Titanium Dioxide (CI 77891), Bismuth Oxychloride (CI 77163), Red 27 Lake (CI 45410), Yellow 6 Lake (CI 15985), Red 21 Lake (CI 45380), Iron Oxide Red (CI 77491), Manganese Violet (CI 77742), Blue 1 Lake (CI 42090), Red 40 Lake (CI 16035), Yellow 5 Lake (CI 19140), Red 6 (CI 15850), Yellow 10 Lake (CI 47005), Iron Oxide Black (CI 77499), Ferric Ammonium Ferrocyanide (CI 77510), Ultramarines (CI 77007), Iron Oxide Yellow (CI 77492), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Red 28 Lake (CI 45410).
Eyeshadow (1,5,6,7,11,13,14,15,20,22,23,26,28,29): Talc, Mica, Synthetic Fluorphlogopite, Silica, Magnesium Stearate, Phenyl Trimethicone, Octyldodecyl Stearoyl Stearate, Tridecyl Trimellitate, Ethylhexyl Palmitate, Calcium Aluminum Borosilicate, Dimethicone, Nylon-12, Hydrogenated Polyisobutene, Kaolin, Polymethylsilsesquioxane, Isononyl Isononanoate, Caprylic/Capric Triglyceride, Boron Nitride, Tin Oxide, Phenoxyethanol, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin. May Contain: Yellow 5 Lake (CI 19140), Titanium Dioxide (CI 77891), Blue 1 Lake (CI 42090), Iron Oxide Red (CI 77491), Bismuth Oxychloride (CI 77163), Iron Oxide Yellow (CI 77492), Iron Oxide Black (CI 77499), Red 40 Lake (CI 16035), Ferric Ammonium Ferrocyanide (CI 77510), Black 2 (CI 77266).
Pressed Pigment(21): Polybutylene terephthalate, Tridecyl Trimellitate, Polyethylene terephthalate, Magnesium Stearate, Mica, Polybutene, Ethylhexyl Palmitate, Dimethicone, Isostearyl Isostearate, Acrylates Copolymer, Phenoxyethanol, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin. May Contain: Red 40 Lake (CI 16035), Aluminum Powder (CI 77000).",https://www.ulta.com/p/culture-eyeshadow-palette-pimprod2031390?sku=2596031,0,4.7
Juvia's Place,Garden of Juvia Eyeshadow,"Home
Makeup
Eyes
Eyeshadow Palettes","Pressed Pigment- Blooming, Lilac You, Peony, Purple Orchid, Flower Child, Marigold, Oh Honey, Gardenia, Sweet Lilac: Talc, Mica, Calcium Aluminum Borosilicate, Silica, Synthetic Fluorphlogopite, Phenyl Trimethicone, Magnesium Stearate, Octyldodecyl Stearoyl Stearate, Tridecyl Trimellitate, Kaolin, Ethylhexyl Palmitate, Dimethicone, Calcium Sodium Borosilicate, Nylon-12, Hydrogenated Polyisobutene, Zinc Stearate, Boron Nitride, Aluminum Starch Octenylsuccinate, Isononyl Isononanoate, Polymethylsilsesquioxane, Caprylic/Capric Triglyceride, Tin Oxide, Phenoxyethanol, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin. May Contain: Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Ultramarine Blue (CI 77007), Aluminum Powder (CI 77000), Red 27 Lake (CI 45410), Yellow 6 Lake (CI 15985), Red 21 Lake (CI 45380), Manganese Violet (CI 77742), Red 40 Lake (CI 16035), Ferric Ammonium Ferrocyanide (CI 77510), Red 6 (CI 15850), Red 28 Lake (CI 45410), Blue 1 Lake (CI 42090).
Eyeshadow- Daffodil, Best Buds, Flower Petals, Money Tree, Sunshine, Lucky Clover, Blossom: Calcium Aluminum Borosilicate, Mica, Phenyl Trimethicone, Talc, Magnesium Stearate, Synthetic Fluorphlogopite, Tridecyl Trimellitate, Octyldodecyl Stearoyl Stearate, Silica, Ethylhexyl Palmitate, Calcium Sodium Borosilicate, Dimethicone, Hydrogenated Polyisobutene, Isononyl Isononanoate, Caprylic/Capric Triglyceride, Tin Oxide, Phenoxyethanol, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin. May Contain: Titanium Dioxide (CI 77891), Bismuth Oxychloride (CI 77163), Chromium Hydroxide Green (CI 77289), Chromium Oxide Greens (CI 77288), Blue 1 Lake (CI 42090), Iron Oxides (CI 77491, CI 77492, CI 77499), Yellow 5 Lake (CI 19140), Red 40 Lake (CI 16035).",https://www.ulta.com/p/garden-of-juvia-eyeshadow-pimprod2034119?sku=2600079,0,4.6
Better Not Younger,Superpower Night & Day Brow Enhancing Duo,"Home
Makeup
Eyes
Eyebrows","Tinted Brow Serum (Day): Isododecane, Trimethylsiloxysilicate, Disteardimonium Hectorite, Ethylene/Propylene/Styrene Copolymer, Silica, Butylene/Ethylene/Styrene Copolymer, Propylene Carbonate, Isononyl Isononanoate, Phenoxyethanol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Triethoxycaprylylsilane, Dimethicone, Niacinamide, Caffeine, Divinyldimethicone/Dimethicone Crosspolymer, Glycerin, Hydrogenated Castor Oil, Sodium Hyaluronate, Water/Aqua/Eau, Ricinus Communis (Castor) Seed Oil, Panthenol, Biotinoyl Tripeptide-1. May contain: Mica (CI77019), Titanium Dioxide (CI77891), Iron Oxides (CI77499, CI77491, CI77492)
Brow Serum (Night): Water/Aqua/Eau, Propanediol, Glycerin, Hydroxyethylcellulose, Phenoxyethanol, Caprylyl Glycol, Chlorphenesin, Niacinamide, Tromethamine, Sorbitan Oleate Decylglucoside Crosspolymer, Zinc Gluconate, Magnesium Aspartate, Citric Acid, Panthenol, Biotinoyl Tripeptide-1, Copper Gluconate, Sodium Chloride, Ricinus Communis (Castor) Seed Oil, Sodium Hyaluronate
*Ingredient list may vary. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.ulta.com/p/superpower-night-day-brow-enhancing-duo-pimprod2030257?sku=2593488,0,4.2
Keranique,Volumizing Follicle Strengthening Conditioner,"Home
Hair
Shampoo & Conditioner
Conditioner","Water (Aqua,Eau), Cetearyl Alcohol, Cetyl Alcohol, Behentrimonium Chloride, Isododecane, Amodimethicone, Caprylyl Glycol, Stearamine Oxide, Guar Hydroxypropyltrimonium Chloride, Glycerin, Fragrance (Parfum), Cetrimonium Chloride, Isopropyl Alcohol, Hydroxyethylcellulose, Potassium Sorbate, Menthol, Glyceryl Undecylenate, Glyceryl Laurate, Panthenol, Tetrasodium Glutamate Diacetate, Methoxy PEG/PPG-7/3 Aminopropyl Dimethicone, PPG-3 Benzyl Ether Myristate, Citric Acid, Quaternium-91, Butyl Methoxydibenzoylmethane, Quaternium-95, Propanediol, Keratin, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Hydrolyzed Keratin, Hydrolyzed Ceratonia Siliqua Seed Extract, Zea Mays (Corn) Starch, Arginine, Acetyl Tyrosine, Pentylene Glycol, PEG-12 Dimethicone, Calcium Pantothenate, Pentaerythrityl Tetra-dit-butyl Hydroxyhydrocinnamate, Zinc Gluconate, Ornithine HCL, Niacinamide, Sodium Benzoate, Polyquaternium-11, Citrulline, Hydrolyzed Soy Protein, Biotin, Glucosamine HCL, Disodium Succinate, Polyquaternium-7, Arctium Majus Root Extract, Panax Ginseng Root Extract, Linalool",https://www.ulta.com/p/volumizing-follicle-strengthening-conditioner-pimprod2038679?sku=2608481,0,4.6
ColourPop,Sorbet Eyeshadow Palette Quad,"Home
Makeup
Eyes
Eyeshadow Palettes","GLAZEY: Calcium Sodium Borosilicate, Caprylic/capric Triglyceride, Polydiethylsiloxane, Isostearyl Neopentanoate, Magnesium Myristate, Silica, Polyglyceryl-10 Pentaisostearate, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol. May Contain: Blue 1 Lake (CI 42090), Bismuth Oxychloride (CI 77163), Bronze Powder (CI 77400), Carmine (CI 75470), Chromium Oxide Greens (CI 77288), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891).
SCOOPED*: *Not intended for use in the immediate eye area. Dimethicone, Polyethylene Terephthalate, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Aluminum Calcium Sodium Silicate, Lauroyl Lysine, Polymethyl Methacrylate, Boron Nitride, Magnesium Myristate, Dimethiconol, Phenoxyethanol, Tin Oxide, Caprylyl Glycol, Triethoxycaprylylsilane, Ethylhexylglycerin, Hexylene Glycol. May Contain: Blue 1 Lake (CI 42090), Bismuth Oxychloride (CI 77163), Bronze Powder (CI 77400), Carmine (CI 75470), Chromium Oxide Greens (CI 77288), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Mica (CI 77019), Red 7 (CI 15850), Red 28 Lake (CI 45410), Red 40 Lake (CI 16035), Yellow 5 (CI 19140), Titanium Dioxide (CI 77891).
EXTRA SYRUP: Talc, Lauroyl Lysine, Boron Nitride, Silica, Dimethicone, Phenoxyethanol, Caprylic/capric Triglyceride, Polydiethylsiloxane, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Dimethiconol, Triethoxycaprylylsilane.may Contain: Blue 1 Lake (CI 42090), Bismuth Oxychloride (CI 77163), Iron Oxide (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140).
DRIZZLED: Talc, Boron Nitride, Zinc Stearate, Lauroyl Lysine, Polydiethylsiloxane, Dimethicone, Polyglyceryl-10 Pentaisostearate, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Phenoxyethanol. May Contain: Blue 1 Lake (CI 42090), Chromium Oxide Greens (CI 77288), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140).",https://www.ulta.com/p/sorbet-eyeshadow-palette-quad-pimprod2027186?sku=2583819,0,4
Alterna,Caviar Moisture Consumer Trial Kit,"Home
Gifts
By Price
$25 and Under","Cavair Anti-Aging Replenishing Moisture Shampoo: Water (Aqua), Disodium Laureth Sulfosuccinate, Sodium Cocoyl Isethionate, Sodium Lauryl Sulfoacetate, Cocamidopropyl Hydroxysultaine, Sodium Lauroyl Sarcosinate, Cocamidopropylamine Oxide, Acrylates Copolymer, Methyl Gluceth-20, Glycol Distearate, Glycereth-26, Algae Extract, Amodimethicone, Saccharomyces/Magnesium Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Phospholipids, Soy Amino Acids, Sodium Phytate, Polysilicone-15Linum Usitatissimum (Linseed) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Glycerin, Laureth-9, Caviar Extract, Butyrospermum Parkii (Shea) Butter, Ascorbic Acid, Superoxide Dismutase, Polyquaternium-10, Trideceth-12, Tocopheryl Acetate, C12-13 Pareth-3, C12-13 Pareth-23, Divinyldimethicone/Dimethicone Copolymer, Lauryl Alcohol, C11-15 Pareth-7, Butylene Glycol, Polyquaternium-7, Decyl Glucoside, Dihydroxypropyl PEG-5 Linoleammonium Chloride, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Disodium EDTA, Aminomethyl Propanol, Isopropyl Alcohol, Tetrasodium EDTA, Alcohol, Potassium Sorbate, Polyaminopropyl Biguanide, Benzoic Acid, Phenoxyethanol, Methylisothiazolinone, Fragrance (Parfum). (10-13-26952).
Caviar Anti-Aging Replenishing Moisture Conditioner: Water (Aqua), Cetearyl Alcohol , Cyclopentasiloxane, Behentrimonium Chloride, Cetrimonium Chloride, Glycerin, Dimethicone, Hydrolyzed Rice Protein, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Ascorbic Acid, Linum Usitatissimum (Linseed) Seed Oil, Caviar Extract, Polysilicone-15, Phospholipids, Helianthus Annuus (Sunflower) Seed Oil, Tocopheryl Acetate, Butyrospermum Parkii (Shea) Butter, Divinyldimethicone/Dimethicone Copolymer, Algae Extract, Jojoba Esters, Cetrimonium Bromide, Dimethiconol, Saccharomyces/Magnesium Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Saccharomyces/Iron Ferment, Superoxide Dismutase, Amodimethicone, C11-15 Pareth-7, Glycereth-26, C12-13 Pareth-23, C12-13 Pareth-3, Trideceth-12, Polyquaternium-37, Laureth-9, Dicaprylyl Carbonate, Lauryl Glucoside, Guar Hydroxypropyltrimonium Chloride, Butylene Glycol, Disodium EDTA, Citric Acid, Methylisothiazolinone, Phenoxyethanol, Fragrance (Parfum).
CC Cream - Water (Aqua), Cetearyl Alcohol , Cyclopentasiloxane, Dimethicone, Cyclohexasiloxane, Propanediol, Glycerin, Panthenol, Polyquaternium-55, Behentrimonium Chloride, Algae Extract, Caviar Extract, Tocopheryl Acetate, Polysilicone-15, Ascorbic Acid, Phospholipids, Helianthus Annuus (Sunflower) Seed Oil, Chamomilla Recutita (Matricaria) Extract, Honey Extract (Mel Extract), Citrus Limon (Lemon) Peel Extract, Superoxide Dismutase, Polyquaternium-11, Polyimide-1, Saccharomyces/Magnesium Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Saccharomyces/Iron Ferment, Butylene Glycol, Amodimethicone, C11-15 Pareth-7, Laureth-9, Trideceth-12, Isopropyl Alcohol, PEG-4 Laurate, PEG-4 Dilaurate, Caprylyl Glycol, PEG-4, Alcohol Denat., Disodium EDTA, Citric Acid, Iodopropynyl Butylcarbamate, Phenoxyethanol, Potassium Sorbate, Fragrance (Parfum). (10-14-30191)",https://www.ulta.com/p/caviar-moisture-consumer-trial-kit-pimprod2002299?sku=2534625,0,4
Clinique,Stay-Matte Oil-Free Makeup Foundation,"Home
Makeup
Face
Foundation","Water / Aqua / Eau, Methyl Trimethicone, Butylene Glycol, Neopentyl Glycol Diheptanoate, Dimethicone, Trimethylsiloxysilicate, Nylon-12, Silica, Laminaria Saccharina Extract, Salix Alba (Willow) Bark Extract, Aloe Barbadensis Leaf Extract, Cholesterol, Glycerin, Zinc Stearate, PEG-10 Dimethicone, Caffeine, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Lecithin, Disteardimonium Hectorite, Dimethicone / PEG-10 / 15 Crosspolymer, Tocopheryl Acetate, Phenyl Trimethicone, Triethoxycaprylylsilane, Laureth-7, Magnesium Aluminum Silicate, Potassium Sorbate, Sorbic Acid, Sodium Dehydroacetate, Triethyl Citrate, Hydroxyapatite, Xanthan Gum, Sodium Chloride, Alcohol, Dipropylene Glycol, Disodium EDTA, Sodium Citrate, Sodium Hyaluronate, Nylon-6, Chlorphenesin, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Bismuth Oxychloride (CI 77163), Mica.
Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.ulta.com/p/stay-matte-oil-free-makeup-foundation-xlsImpprod10791929?sku=2247037,0,4.3
